day,equity_cum,daily_ret
2026-05-27,-0.0005893274395860231,-0.0005893274395860231
2026-05-28,-0.009409800755814962,-0.00882047331622894
2026-05-29,-0.008125444148614122,0.001284356607200841
2026-05-30,-0.010774807973610344,-0.0026493638249962224
2026-05-31,-0.00884541963381797,0.0019293883397923733
2026-06-01,-0.00968126230233743,-0.0008358426685194596
2026-06-02,-0.0049524725325006385,0.004728789769836792
2026-06-03,0.00315833292873521,0.008110805461235849
2026-06-04,0.014268927358062768,0.011110594429327558
2026-06-05,0.014240320600361595,-2.860675770117388e-05
2026-06-06,0.022710321617122137,0.008470001016760542
2026-06-07,0.027946007639624335,0.0052356860225022
2026-06-08,0.03099528366255443,0.0030492760229300954
2026-06-09,0.03030536864691007,-0.0006899150156443611
2026-06-10,0.027555563418974457,-0.0027498052279356115
2026-06-11,0.030672757641137825,0.003117194222163369
2026-06-12,0.034586634459441386,0.003913876818303562
2026-06-13,0.032523210887500424,-0.0020634235719409638
2026-06-14,0.031639556643699995,-0.0008836542438004293
2026-06-15,0.029710851233621993,-0.0019287054100780023
2026-06-16,0.034822545313121074,0.005111694079499083
2026-06-17,0.03718810427004084,0.002365558956919768
2026-06-18,0.035835382143264635,-0.0013527221267762104
2026-06-19,0.03541058125127876,-0.0004248008919858749
2026-06-20,0.036166777234025504,0.0007561959827467441
2026-06-21,0.03922271006863473,0.003055932834609226
2026-06-22,0.04082324904745997,0.0016005389788252412
2026-06-23,0.0441598893941906,0.003336640346730623
2026-06-24,0.03882481312483838,-0.005335076269352214
2026-06-25,0.05915165670972716,0.020326843584888784
2026-06-26,0.05675434948011738,-0.002397307229609787
2026-06-27,0.05804131816864343,0.001286968688526047
2026-06-28,0.05364706855373188,-0.004394249614911549
2026-06-29,0.05501738163333604,0.001370313079604165
2026-06-30,0.05547718358104683,0.00045980194771078796
2026-07-01,0.05477815229461419,-0.0006990312864326405
2026-07-02,0.053455648890759176,-0.0013225034038550163
2026-07-03,0.04914717184010626,-0.00430847705065292
2026-07-04,0.04944517095342434,0.00029799911331808204
2026-07-05,0.0504622668389356,0.0010170958855112541
2026-07-06,0.04794378026333606,-0.002518486575599543
2026-07-07,0.04757523728062142,-0.00036854298271464156
2026-07-08,0.04429106225757532,-0.0032841750230460996
2026-07-09,0.04523468657524148,0.0009436243176661602
2026-07-10,0.04601297627825331,0.000778289703011828
2026-07-11,0.04310881676561899,-0.002904159512634318
2026-07-12,0.04380208213424821,0.0006932653686292174
2026-07-13,0.043963546330298045,0.00016146419604983535
2026-07-14,0.04279351621761128,-0.0011700301126867669
2026-07-15,0.0445804425455211,0.001786926327909817
2026-07-16,0.0433785143684244,-0.0012019281770966942
2026-07-17,0.04414405621453256,0.0007655418461081574
